name,address,vaccine
HeartlandHealth (Redhill Close),"86 Redhill Close #01-600, Singapore 150086",Pfizer /Comirnaty (Children aged 5 to 11 years)
HeartlandHealth (Tampines),"730 Tampines Street 71 #01-51, Singapore 520730",Pfizer /Comirnaty (Children aged 5 to 11 years)
ASPEN Clinic,"283 Bishan Street 22 #01-185, Singapore 570283",Pfizer /Comirnaty (Children aged 5 to 11 years)
Raffles Medical (Tampines 1),"10 Tampines Central 1, Tampines 1 #03-28, Singapore 529536",Pfizer /Comirnaty (Children aged 5 to 11 years)
Raffles Medical (Waterway point),"83 Punggol Central, Waterway Point #02-29, Singapore 828761",Pfizer /Comirnaty (Children aged 5 to 11 years)
DR+ Medical Paincare Clinic,"988 Upper Serangoon Road, Stars of Kovan #01-07, Singapore 534733",Pfizer /Comirnaty (Children aged 5 to 11 years)
Potong Pasir Medical Clinic,"148 Potong Pasir Avenue 1, #01-55, Singapore 350148",Pfizer /Comirnaty (Children aged 5 to 11 years)
HeartlandHealth (Circuit Road),"88 Circuit Road, #01-965, Singapore 370088",Pfizer /Comirnaty (Children aged 5 to 11 years)
Trucare Medical Clinic And Surgery (Hougang Central),"1187 Upper Serangoon Rd, The Midtown #01-53, Singapore 533971",Pfizer /Comirnaty (Adults & Children aged 5 to 11 years)
Raffles Medical Clinic Compass One,"1 Sengkang Square #04-09, Compass Mall One, Singapore 545078",Pfizer /Comirnaty (Adults & Children aged 5 to 11 years)
Admiralty Family Medical Clinic,"693 Woodlands Avenue 6 #01-08, Singapore 730693",Pfizer /Comirnaty (Adults & Children aged 5 to 11 years)
Our Family Physician Clinic & Surgery,"829 Tampines Street 81, #01-292, Singapore 520829",Pfizer /Comirnaty (Adults & Children aged 5 to 11 years)
Eastern Medical Centre,"631 Bedok Reservoir Road #01-896, Singapore 470631",Pfizer /Comirnaty (Adults & Children aged 5 to 11 years)
Trucare Medical and Surgery (Havelock),"51 Havelock Road #01-04, Singapore 161051",Pfizer /Comirnaty (Adults & Children aged 5 to 11 years)
