,country,Covid_tests,Forms,Masks,Quarantine,Insurance,Vaccination
0,Afghanistan,Negative PCR test within 72 hours prior to arrival is required,Not required,"Mask is required in all public indoor, public transport and certain outdoor areas",14 days required,Not required,Not required
1,Albania,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
2,Algeria,Negative PCR test obtained within 72 hours prior to departure is required,Not required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Not required,Not required
3,American Samoa,Negative PCR test result obtained within 72 hours prior to departure required,Required,"Mask is required in all public indoor, public transport and certain outdoor areas",Quarantine may be required if a positive result is received on arrival,Not required,Required
4,Angola,Negative PCR test tested within 72 hours prior to departure and antigen rapid test tested within 24 hours prior to departure on arrival required,Required,"Mask is required in all public indoor, public transport and certain outdoor areas",Quarantine in a government medical facility required or if asymptomatic quarantine at home required,Not required,Required
5,Antigua and Barbuda,Not required ,Required,Not required,May be required if displaying symptoms,Not required ,Not required 
6,Argentina,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
7,Armenia,Not Required,Not required,Required in certain indoor areas,Not required,Not required,Not required
8,Aruba,Not required,Required,Not required,Not required,"Advised, not required",Not required
9,Australia,Not required,Not required,Masks are required in some states and territories.,"Quarantine requirements in Australia are determined by State and Territory governments. If you wish to travel to another state or territory, you may not be allowed to enter, or you may be subject to quarantine.",Not required,Not required
10,Austria,Not required,Not required,"Masks are required on public transport, in taxis, and when entering shops offering essential services.",Not required,Not required,Not required
11,Azerbaijan,Not required,Not required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Not required,Not required
12,Bahamas,Negative RT-PCR or rapid antigen test obtained within 3 days prior to departure required,Required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Not required ,Not required 
13,Bahrain,Not Required,Not required,Not required,Not required,Not required,Not required
14,Bangladesh,Negative RT-PCR test obtained within 72 hours prior to departure required ,Required,"Mask is required in all public indoor, public transport and all outdoor areas ",Not required,Not required,Not required
15,Barbados,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
16,Belarus,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
17,Belgium,Not Required,Not required,Not required,Not required,Not required,Not required
