,Ancestral,,Alpha,,Beta,,Gamma,,Delta,,Omircron,
vaccine,Severe Disase,Infection,Severe Disase,Infection,Severe Disase,Infection,Severe Disase,Infection,Severe Disase,Infection,Severe Disase,Infection
AstraZeneca,94,63,94,63,94,69,94,69,94,69,71,36
CanSino,66,62,66,62,64,61,64,61,64,61,48,32
CoronaVac,50,47,50,47,49,46,49,46,49,46,37,24
Covaxin,78,73,78,73,76,72,76,72,76,72,57,38
Johnson&Johnson,86,72,86,72,76,64,76,64,76,64,57,33
Moderna,97,92,97,92,97,91,97,91,97,91,73,48
Novavax,89,83,89,83,86,82,86,82,86,82,65,43
Pfizer/BioNTech,95,86,95,86,95,84,95,84,95,84,72,44
Sinopharm,73,68,73,68,71,67,71,67,71,67,53,35
Sputnik-V,92,86,92,86,89,85,89,85,89,85,67,44
Other vaccines,75,70,75,70,73,69,73,69,73,69,55,36
Other vaccines (mRNA),91,86,91,86,88,85,88,85,88,85,67,45
